Job_Roles,text,avg_exp,salary,locations,skills
Data Scientist,data scientist bigshyft hire trell bengaluru data mine machine learn computer vision statistical model python,12.0,4500000 - 6000000 ,Bengaluru,"Data Mining
Machine Learning ML
Computer Vision
Statistical Modelling
Python"
Data Scientist,data scientist piramal enterprises ltd vadodara computer science supply chain management prototype simulation machine learn agile analytics sql,4.5,Not disclosed,Vadodara,"Computer science
Supply chain management
Prototype
Simulation
Machine learning
Agile
Analytics
SQL"
Analyst,analyst fidelity job gurgaon data science data scientist data management web analytics data model data analytics statistics machine learn,9.5,Not disclosed,Gurgaon,"Data Science
Data Scientist
Data Management
Web Analytics
Data Modeling
Data Analytics
Statistics
Machine Learning"
Manager,manager huquo consult pvt ltd delhi ncr gurgaon data science data scientist data management data mine tableau data analytics machine learn statistics,10.0,Not disclosed,"Delhi NCR, Gurgaon","Data Science
Data Scientist
Data Management
Data Mining
Tableau
Data Analytics
Machine Learning
Statistics"
Data Scientist,data scientist armour corporate service gurgaon gurugram data science senior director natural language process machine learn deep learn python,8.5,Not disclosed,Gurgaon Gurugram,"Data Science
R
Senior Director
Natural Language Processing
Machine Learning
Deep Learning
Python"
Data Scientist,data scientist buzzhire delhi ncr mumbai data science data scientist data management data analytics machine learn analytics python sql,3.5,Not disclosed,"Delhi NCR, Mumbai","Data Science
Data Scientist
Data Management
Data Analytics
Machine Learning
Analytics
Python
SQL"
Data Scientist,data scientist sigmasoft infotech private limit bengaluru data warehouse machine learn sql,7.5,Not disclosed,Bengaluru,"Data Warehousing
Machine Learning
sql"
Data Scientist,data scientist levi strauss bengaluru supply chain computer science cloud compute automation business process improvement analytical fmcg,6.5,Not disclosed,Bengaluru,"Supply chain
Computer science
Cloud computing
C++
Automation
Business process improvement
Analytical
FMCG"
Data Scientist,data scientist rgf professional recruitment india mumbai data science analytical machine learn management business solutions sql python recruitment,9.0,Not disclosed,Mumbai,"data science
Analytical
Machine learning
Management
Business solutions
SQL
Python
Recruitment"
Data Scientist,data scientist huquo consult pvt ltd gurgaon data science team lead nlp data scientist data management data mine data visualization text mine,6.0,Not disclosed,Gurgaon,"Data Science
Team leading
NLP
Data Scientist
Data Management
Data Mining
Data Visualization
Text Mining"
Data Scientist,data scientist bigshyft hire sprinklr gurgaon natural language process nlp deep learn python,3.5,800000 - 1800000 ,Gurgaon,"Natural Language Processing NLP
Deep Learning
Python"
Data Scientist,data scientist pylon management consult pvt ltd gurgaon noida natural language process nlp deep learn python,7.5,Not disclosed,"Gurgaon, Noida","Natural Language Processing NLP
Deep Learning
Python"
Data Scientist,data scientist bigshyft hire nextgen invent corporation delhi mysql hadoop machine learn statistical model python,2.0,800000 - 1200000 ,Delhi,"MySQL
Hadoop
Machine Learning ML
Statistical Modelling
Python"
Analyst,analyst huquo consult pvt ltd noida data science predictive model data scientist process excellence data analytics statistics machine learn analytics,3.0,Not disclosed,Noida,"Data Science
Predictive Modeling
Data Scientist
Process Excellence
Data Analytics
Statistics
Machine Learning
Analytics"
Data Scientist,data scientist wallethub delhi ncr bengaluru hyderabad data analysis statistical analytics mathematics machine learn business intelligence financial service sql engineer,15.0,2500000 - 4000000 ,"Delhi NCR, Bengaluru, Hyderabad","data analysis
statistical analytics
Mathematics
machine learning
business intelligence
financial services
sql
Engineering"
Data Scientist,data scientist human factor corporation hyderabad data analysis statistical analytics mathematics machine learn business intelligence financial service sql engineer,6.0,Not disclosed,Hyderabad,"data analysis
statistical analytics
Mathematics
machine learning
business intelligence
financial services
sql
Engineering"
Data Scientist,data scientist xyenta limit hyderabad manage service pdf statistical analysis data science data mine big data financial service sql,5.5,Not disclosed,Hyderabad,"Managed services
PDF
Statistical analysis
data science
Data mining
big data
Financial services
SQL"
Data Scientist,data scientist jek bengaluru computer science risk analytics online market machine learn risk management operations financial service sql,9.0,Not disclosed,Bengaluru,"Computer science
Risk analytics
Online marketing
Machine learning
Risk management
Operations
Financial services
SQL"
Analyst,analyst gaba consultancy service faridabad delhi ncr greater noida fresher data analyst power bank data management tableau market analytics graduate fresher,0.0,225000 - 475000 ,"Faridabad, Delhi NCR, Greater Noida","O2C
fresher data analyst
Power Bi
Banking
Data Management
Tableau
Marketing Analytics
graduate fresher"
Data Scientist,data scientist globalhunt india private limit bengaluru data analysis,13.5,Not disclosed,Bengaluru,Data Analysis
Data Scientist,data scientist bigshyft hire embibe bengaluru data analysis,8.5,Not disclosed,Bengaluru,Data Analysis
Data Scientist,data scientist bion bengaluru hadoop statistical model deep learn python sql,8.5,Not disclosed,Bengaluru,"Hadoop
Statistical Modelling
Deep Learning
Python
SQL"
Data Scientist,data scientist bion bengaluru hadoop statistical model deep learn python sql,8.0,Not disclosed,Bengaluru,"Hadoop
Statistical Modelling
Deep Learning
Python
SQL"
Data Scientist,data scientist bion bengaluru hadoop statistical model deep learn python sql,7.0,Not disclosed,Bengaluru,"Hadoop
Statistical Modelling
Deep Learning
Python
SQL"
Data Scientist,data scientist market scope chennai exploratory data analysis coach academics use case education data cleanse data collection tableau,3.5,Not disclosed,Chennai,"Exploratory Data Analysis
Coaching
Academics
Use Cases
Education
Data Cleansing
Data Collection
Tableau"
Data Scientist,data scientist nore consult trivandrum data science data scientist bokeh machine learn ggplot deep learn sql,8.0,Not disclosed,Trivandrum,"Data Science
Data Scientist
Bokeh
Machine Learning
GGplot
Deep Learning
SQL"
Data Scientist,data scientist huquo consult pvt ltd delhi ncr data science nlp sas data scientist data management data analytics statistics analytics,3.0,Not disclosed,Delhi NCR,"Data Science
NLP
SAS
Data Scientist
Data Management
Data Analytics
Statistics
Analytics"
Data Scientist,data scientist bigshyft hire directech labs noida statistical model machine learn python sql predictive analytics,10.5,5000000 - 7000000 ,Noida,"Statistical Modelling
Machine Learning
Python
SQL
Predictive Analytics"
